species,habitat,,,,,,
Adenomera dyptix,Grassland, Wetlands (inland), Artificial/Terrestrial,,,,
Boana albopunctata,Savanna, Shrubland, Wetlands (inland), Artificial/Terrestrial,,,
Boana geographica,Forest, Savanna, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine,
Boana punctata,Forest, Wetlands (inland), Artificial/Terrestrial,,,,
Boana raniceps,Forest, Grassland, Wetlands (inland), Artificial/Terrestrial,,,
Dendropsophus jimi,Savanna, Shrubland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine,,
Dendropsophus minutus,Forest, Savanna, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine,
Dendropsophus nanus,Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine
Dendropsophus sanborni ,Savanna, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine,,
Elachistocleis bicolor,Forest, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine,,
Elachistocleis matogrosso,Forest, Wetlands (inland),,,,,
Leptodactylus bufonius,Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine,,
Leptodactylus elenae,Forest, Savanna, Shrubland, Wetlands (inland), Artificial/Terrestrial,,
Leptodactylus furnarius,Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine,
Leptodactylus fuscus,Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine
Leptodactylus labyrinthicus,Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial,
Leptodactylus latrans,Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine
Leptodactylus macrosternum,Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine
Leptodactylus podicipinus,Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial,,
Lysapsus limellum,Savanna, Grassland, Wetlands (inland), Artificial/Terrestrial,,,
Phyllomedusa sauvagii,Forest, Savanna, Shrubland, Wetlands (inland),,,
Physalaemus albonotatus,Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine
Physalaemus biligonigerus,Forest, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine,
Physalaemus cuvieri,Forest, Savanna, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine,
Physalaemus nattereri,Savanna, Shrubland, Grassland, Wetlands (inland),,,
Pithecopus azureus,Savanna,,,,,,
Pristimantis dundeei,Forest, Shrubland,,,,,
Pseudis platensis,Forest, Savanna, Wetlands (inland),,,,
Pseudopaludicola motorzinho,Grassland, Wetlands (inland), Artificial/Terrestrial,,,,
Rhinella bergi,Savanna, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine,,
Rhinella diptycha ,Savanna, Wetlands (inland),,,,,
Rhinella major,Savanna, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine,,
Scinax acuminatus,Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine,
Scinax constrictus,Savanna, Wetlands (inland),,,,,
Scinax fuscomarginatus,Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine
Scinax fuscovarius,Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial,,
Scinax nasicus,Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine
Scinax squalirostris,Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine
Trachycephalus typhonius,Forest, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
